,user,window,mood,arousal,valence,activity,predicted_mood
79,AS14.03,2014-04-02-2014-04-06,7.4799999999999995,0.36,0.96,0.08812622124360663,7.4
80,AS14.03,2014-04-03-2014-04-07,7.4799999999999995,0.36,1.04,0.10120138094402926,7.4
81,AS14.03,2014-04-04-2014-04-08,7.4,0.43999999999999995,1.08,0.10524026785710541,7.8
82,AS14.03,2014-04-05-2014-04-09,7.399999999999999,0.52,1.0,0.1062434024348979,7.4
83,AS14.03,2014-04-06-2014-04-10,7.360000000000001,0.36,1.0,0.10497109473200952,7.6
84,AS14.03,2014-04-07-2014-04-11,7.5200000000000005,0.36,1.04,0.11365430828931522,7.666666666666668
85,AS14.03,2014-04-08-2014-04-12,7.573333333333335,0.3866666666666666,1.04,0.11024898938576619,7.4
86,AS14.03,2014-04-09-2014-04-13,7.573333333333333,0.3466666666666666,1.0,0.10511032002593365,7.0
87,AS14.03,2014-04-10-2014-04-14,7.413333333333334,0.22666666666666666,0.96,0.10526512650845068,7.6
88,AS14.03,2014-04-11-2014-04-15,7.453333333333333,0.18666666666666668,0.9199999999999999,0.10756284638969005,8.0
89,AS14.03,2014-04-12-2014-04-16,7.533333333333334,0.3066666666666667,0.9199999999999999,0.10647886357832637,7.25
90,AS14.03,2014-04-13-2014-04-17,7.45,0.29000000000000004,0.8699999999999999,0.10924324439454272,7.5
91,AS14.03,2014-04-14-2014-04-18,7.470000000000001,0.25,0.8699999999999999,0.10839095254118421,7.8
92,AS14.03,2014-04-15-2014-04-19,7.63,0.37,0.8699999999999999,0.13145765481550314,7.5
93,AS14.03,2014-04-16-2014-04-20,7.609999999999999,0.38,0.9099999999999999,0.13691718255601432,7.4
94,AS14.03,2014-04-17-2014-04-21,7.49,0.26,0.9099999999999999,0.11813270971917918,7.6
95,AS14.03,2014-04-18-2014-04-22,7.5600000000000005,0.29000000000000004,0.9199999999999999,0.10853198334087052,7.0
96,AS14.03,2014-04-19-2014-04-23,7.460000000000001,0.41000000000000003,0.8799999999999999,0.11783471062837106,7.4
97,AS14.03,2014-04-20-2014-04-24,7.38,0.25000000000000006,0.9199999999999999,0.09738897365770431,7.5
98,AS14.03,2014-04-21-2014-04-25,7.38,4.4408920985006264e-17,0.9199999999999999,0.08925196985701171,7.5
99,AS14.03,2014-04-22-2014-04-26,7.4,-0.09,0.9199999999999999,0.13891125891773434,7.6
100,AS14.03,2014-04-23-2014-04-27,7.4,-0.45,0.96,0.13345055037734957,7.0
101,AS14.03,2014-04-24-2014-04-28,7.4,-0.85,1.0,0.12589830457819384,7.2
102,AS14.03,2014-04-25-2014-04-29,7.360000000000001,-0.9299999999999999,1.0,0.12843725577596116,7.0
103,AS14.03,2014-04-26-2014-04-30,7.26,-0.97,1.0,0.1251421802976705,7.2
104,AS14.03,2014-04-27-2014-05-01,7.2,-1.0799999999999998,1.0,0.09859149714922547,7.6
105,AS14.03,2014-04-28-2014-05-02,7.2,-1.04,1.08,0.11235646733639912,7.75
106,AS14.03,2014-04-29-2014-05-03,7.35,-0.8400000000000001,1.08,0.1236145555554327,7.4
107,AS14.03,2014-04-30-2014-05-04,7.389999999999999,-0.96,1.04,0.1131078672401207,7.25
108,AS14.05,2014-03-17-2014-03-21,6.94,0.37,0.79,0.09978244286629673,3.75
109,AS14.05,2014-03-18-2014-03-22,6.49,0.05,0.51,0.08682053714092855,4.4
110,AS14.05,2014-03-19-2014-03-23,5.87,-0.27999999999999997,0.10999999999999996,0.08122993535896159,3.75
111,AS14.05,2014-03-20-2014-03-24,5.2700000000000005,-0.8800000000000001,-0.24,0.05579885678819603,5.333333333333333
112,AS14.05,2014-03-21-2014-03-25,4.8966666666666665,-1.28,-0.33333333333333337,0.04030087451181711,5.5
113,AS14.05,2014-03-22-2014-03-26,4.546666666666667,-1.3800000000000001,-0.4833333333333333,0.038108631770791004,5.8
114,AS14.05,2014-03-23-2014-03-27,4.956666666666667,-1.1,-0.24333333333333335,0.049831605354471634,6.2
115,AS14.05,2014-03-24-2014-03-28,5.316666666666666,-0.82,0.07666666666666665,0.041847942538512345,6.4
116,AS14.05,2014-03-25-2014-03-29,5.846666666666667,-0.5,0.4766666666666667,0.06142540449407672,6.2
117,AS14.05,2014-03-26-2014-03-30,6.02,-0.45999999999999996,0.57,0.06821592881645626,6.8
118,AS14.05,2014-03-27-2014-03-31,6.279999999999999,-0.44000000000000006,0.72,0.07143689133151063,7.0
119,AS14.05,2014-03-28-2014-04-01,6.5200000000000005,-0.32,0.8800000000000001,0.07162691640377875,7.0
120,AS14.05,2014-03-29-2014-04-02,6.6800000000000015,-0.36,0.96,0.07718722802496776,7.2
121,AS14.05,2014-03-30-2014-04-03,6.840000000000001,-0.4800000000000001,0.9199999999999999,0.06685288872189929,7.0
122,AS14.05,2014-03-31-2014-04-04,7.0,-0.4800000000000001,0.96,0.06016029151364598,7.5
123,AS14.05,2014-04-01-2014-04-05,7.140000000000001,-0.4,0.96,0.06294971998866129,6.8
124,AS14.05,2014-04-02-2014-04-06,7.1,-0.48,0.96,0.06279705049632628,6.75
125,AS14.05,2014-04-03-2014-04-07,7.05,-0.49000000000000005,0.9099999999999999,0.061543561125273746,6.75
126,AS14.05,2014-04-04-2014-04-08,6.959999999999999,-0.24000000000000005,0.75,0.06801822011000097,7.0
127,AS14.05,2014-04-05-2014-04-09,6.959999999999999,-0.030000000000000006,0.7,0.09045070595312306,7.2
128,AS14.05,2014-04-06-2014-04-10,6.9,0.13,0.7,0.07926243715295478,7.0
129,AS14.05,2014-04-07-2014-04-11,6.94,0.25,0.62,0.08271295957749851,7.0
130,AS14.05,2014-04-08-2014-04-12,6.99,0.020000000000000018,0.67,0.07920099214455759,7.5
131,AS14.05,2014-04-09-2014-04-13,7.140000000000001,0.03666666666666668,0.8699999999999999,0.08500151278158008,6.4
132,AS14.05,2014-04-10-2014-04-14,7.0200000000000005,-0.2533333333333333,0.8,0.07462241124664143,7.0
133,AS14.05,2014-04-11-2014-04-15,6.9799999999999995,-0.3733333333333333,0.76,0.08341229698931743,7.2
134,AS14.05,2014-04-12-2014-04-16,7.0200000000000005,-0.5333333333333333,0.8,0.08561913316335386,6.6
135,AS14.05,2014-04-13-2014-04-17,6.9399999999999995,-0.1733333333333333,0.72,0.09876705283700578,7.5
136,AS14.05,2014-04-14-2014-04-18,6.94,-0.19000000000000003,0.72,0.09897505759313964,7.2
137,AS14.05,2014-04-15-2014-04-19,7.1,-0.11000000000000001,0.8,0.09080776653710532,7.2
